"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HOUSECOST","REAL","IDX2015","A","2000",77.9844817617626,
"AUT","HOUSECOST","REAL","IDX2015","A","2001",76.8212386730485,
"AUT","HOUSECOST","REAL","IDX2015","A","2002",76.478951669446,
"AUT","HOUSECOST","REAL","IDX2015","A","2003",75.5234219280834,
"AUT","HOUSECOST","REAL","IDX2015","A","2004",72.8276264364407,
"AUT","HOUSECOST","REAL","IDX2015","A","2005",74.654390017124,
"AUT","HOUSECOST","REAL","IDX2015","A","2006",76.1246151100176,
"AUT","HOUSECOST","REAL","IDX2015","A","2007",77.7569808555971,
"AUT","HOUSECOST","REAL","IDX2015","A","2008",76.9782443477915,
"AUT","HOUSECOST","REAL","IDX2015","A","2009",79.7156880109305,
"AUT","HOUSECOST","REAL","IDX2015","A","2010",85.689404463833,
"AUT","HOUSECOST","REAL","IDX2015","A","2011",88.2558205997674,
"AUT","HOUSECOST","REAL","IDX2015","A","2012",92.5365408844237,
"AUT","HOUSECOST","REAL","IDX2015","A","2013",95.3297304140448,
"AUT","HOUSECOST","REAL","IDX2015","A","2014",96.7212962675649,
"AUT","HOUSECOST","REAL","IDX2015","A","2015",100,
"AUT","HOUSECOST","REAL","IDX2015","A","2016",106.983658936866,
"AUT","HOUSECOST","REAL","IDX2015","A","2017",110.685766859181,
"AUT","HOUSECOST","REAL","IDX2015","A","2018",113.579445860602,
"AUT","HOUSECOST","REAL","IDX2015","A","2019",118.142788415027,
"AUT","HOUSECOST","REAL","IDX2015","A","2020",125.508884294866,
"BEL","HOUSECOST","REAL","IDX2015","A","2000",65.717891553623,
"BEL","HOUSECOST","REAL","IDX2015","A","2001",67.329802740044,
"BEL","HOUSECOST","REAL","IDX2015","A","2002",70.9016628447686,
"BEL","HOUSECOST","REAL","IDX2015","A","2003",74.6724252865775,
"BEL","HOUSECOST","REAL","IDX2015","A","2004",79.1742106622809,
"BEL","HOUSECOST","REAL","IDX2015","A","2005",85.9665018968349,
"BEL","HOUSECOST","REAL","IDX2015","A","2006",91.8236558892533,
"BEL","HOUSECOST","REAL","IDX2015","A","2007",96.4009836473963,
"BEL","HOUSECOST","REAL","IDX2015","A","2008",97.5626732794145,
"BEL","HOUSECOST","REAL","IDX2015","A","2009",97.9043725004677,
"BEL","HOUSECOST","REAL","IDX2015","A","2010",99.1093905791683,
"BEL","HOUSECOST","REAL","IDX2015","A","2011",100.237207407226,
"BEL","HOUSECOST","REAL","IDX2015","A","2012",100.452969118833,
"BEL","HOUSECOST","REAL","IDX2015","A","2013",100.561643188014,
"BEL","HOUSECOST","REAL","IDX2015","A","2014",99.2625377032145,
"BEL","HOUSECOST","REAL","IDX2015","A","2015",100,
"BEL","HOUSECOST","REAL","IDX2015","A","2016",101.102666369237,
"BEL","HOUSECOST","REAL","IDX2015","A","2017",102.810016232292,
"BEL","HOUSECOST","REAL","IDX2015","A","2018",103.673185010279,
"BEL","HOUSECOST","REAL","IDX2015","A","2019",106.363294669566,
"BEL","HOUSECOST","REAL","IDX2015","A","2020",110.182250459745,
"CZE","HOUSECOST","REAL","IDX2015","A","2008",107.797684364306,
"CZE","HOUSECOST","REAL","IDX2015","A","2009",102.749721713388,
"CZE","HOUSECOST","REAL","IDX2015","A","2010",100.48079375031,
"CZE","HOUSECOST","REAL","IDX2015","A","2011",98.815038795254,
"CZE","HOUSECOST","REAL","IDX2015","A","2012",95.3080384359235,
"CZE","HOUSECOST","REAL","IDX2015","A","2013",94.672467027479,
"CZE","HOUSECOST","REAL","IDX2015","A","2014",96.1771974607137,
"CZE","HOUSECOST","REAL","IDX2015","A","2015",100,
"CZE","HOUSECOST","REAL","IDX2015","A","2016",106.707057508796,
"CZE","HOUSECOST","REAL","IDX2015","A","2017",116.505433686076,
"CZE","HOUSECOST","REAL","IDX2015","A","2018",123.402994289489,
"CZE","HOUSECOST","REAL","IDX2015","A","2019",131.00446460994,
"CZE","HOUSECOST","REAL","IDX2015","A","2020",138.235482091419,
"DNK","HOUSECOST","REAL","IDX2015","A","2000",69.5429854213325,
"DNK","HOUSECOST","REAL","IDX2015","A","2001",71.926191226163,
"DNK","HOUSECOST","REAL","IDX2015","A","2002",73.1680464015523,
"DNK","HOUSECOST","REAL","IDX2015","A","2003",75.894276193773,
"DNK","HOUSECOST","REAL","IDX2015","A","2004",83.2359199339719,
